zh          1.37275E-06   2.19259E-06   3.50158E-06   5.59091E-06   8.92514E-06   1.42455E-05   2.27348E-05   3.62802E-05   5.78922E-05   9.23738E-05   1.47387E-04   2.35154E-04   3.75168E-04   5.98520E-04   9.54795E-04   1.52306E-03   2.42938E-03   3.87476E-03   6.17960E-03   9.85462E-03   1.57138E-02   2.50546E-02   3.99453E-02   6.36846E-02   1.01540E-01   1.61939E-01   2.58419E-01   4.12862E-01   6.60980E-01   1.06185E+00   1.71487E+00   2.79029E+00   4.58482E+00   7.62171E+00   1.28287E+01   2.18463E+01   3.75471E+01   6.48816E+01   1.12211E+02   1.93326E+02   3.30377E+02

dzh         1.05735E+04   1.33650E+04   1.68868E+04   2.13314E+04   2.69420E+04   3.40262E+04   4.29717E+04   5.42676E+04   6.85310E+04   8.65408E+04   1.09280E+05   1.37987E+05   1.74227E+05   2.19974E+05   2.77714E+05   3.50587E+05   4.42547E+05   5.58582E+05   7.04976E+05   8.89653E+05   1.12261E+06   1.41648E+06   1.78726E+06   2.25537E+06   2.84711E+06   3.59695E+06   4.55123E+06   5.77430E+06   7.35869E+06   9.44144E+06   1.22289E+07   1.60318E+07   2.13100E+07   2.87239E+07   3.91840E+07   5.38875E+07   7.43264E+07   1.02253E+08   1.39583E+08   1.88229E+08   2.49836E+08
            1.05688E+04   1.33588E+04   1.68786E+04   2.13204E+04   2.69273E+04   3.40064E+04   4.29449E+04   5.42310E+04   6.84809E+04   8.64715E+04   1.09183E+05   1.37852E+05   1.74037E+05   2.19704E+05   2.77330E+05   3.50035E+05   4.41750E+05   5.57423E+05   7.03282E+05   8.87164E+05   1.11893E+06   1.41102E+06   1.77914E+06   2.24326E+06   2.82906E+06   3.57022E+06   4.51217E+06   5.71857E+06   7.28214E+06   9.34229E+06   1.21118E+07   1.59141E+07   2.12300E+07   2.87490E+07   3.94163E+07   5.44618E+07   7.53988E+07   1.03976E+08   1.42077E+08   1.91545E+08   2.53931E+08
            1.05630E+04   1.33513E+04   1.68688E+04   2.13075E+04   2.69103E+04   3.39837E+04   4.29145E+04   5.41902E+04   6.84256E+04   8.63962E+04   1.09080E+05   1.37709E+05   1.73838E+05   2.19425E+05   2.76936E+05   3.49474E+05   4.40946E+05   5.56263E+05   7.01597E+05   8.84698E+05   1.11530E+06   1.40563E+06   1.77110E+06   2.23122E+06   2.81103E+06   3.54332E+06   4.47251E+06   5.66140E+06   7.20275E+06   9.23823E+06   1.19872E+07   1.57861E+07   2.11374E+07   2.87607E+07   3.96359E+07   5.50251E+07   7.64597E+07   1.05682E+08   1.44534E+08   1.94785E+08   2.57888E+08
            1.05565E+04   1.33428E+04   1.68577E+04   2.12930E+04   2.68913E+04   3.39587E+04   4.28814E+04   5.41461E+04   6.83665E+04   8.63165E+04   1.08972E+05   1.37561E+05   1.73635E+05   2.19143E+05   2.76540E+05   3.48917E+05   4.40154E+05   5.55129E+05   6.99957E+05   8.82309E+05   1.11179E+06   1.40043E+06   1.76333E+06   2.21954E+06   2.79342E+06   3.51684E+06   4.43309E+06   5.60394E+06   7.12202E+06   9.13111E+06   1.18571E+07   1.56500E+07   2.10344E+07   2.87607E+07   3.98441E+07   5.55783E+07   7.75108E+07   1.07373E+08   1.46960E+08   1.97964E+08   2.61735E+08
            1.05492E+04   1.33334E+04   1.68456E+04   2.12772E+04   2.68708E+04   3.39319E+04   4.28462E+04   5.40997E+04   6.83049E+04   8.62341E+04   1.08861E+05   1.37411E+05   1.73430E+05   2.18862E+05   2.76151E+05   3.48373E+05   4.39388E+05   5.54038E+05   6.98390E+05   8.80036E+05   1.10846E+06   1.39550E+06   1.75596E+06   2.20843E+06   2.77658E+06   3.49129E+06   4.39466E+06   5.54729E+06   7.04144E+06   9.02287E+06   1.17239E+07   1.55083E+07   2.09235E+07   2.87513E+07   4.00430E+07   5.61237E+07   7.85553E+07   1.09055E+08   1.49368E+08   2.01100E+08   2.65499E+08
            1.05413E+04   1.33233E+04   1.68326E+04   2.12605E+04   2.68491E+04   3.39037E+04   4.28094E+04   5.40514E+04   6.82413E+04   8.61500E+04   1.08749E+05   1.37261E+05   1.73227E+05   2.18585E+05   2.75772E+05   3.47848E+05   4.38654E+05   5.53003E+05   6.96914E+05   8.77908E+05   1.10535E+06   1.39091E+06   1.74910E+06   2.19807E+06   2.76078E+06   3.46713E+06   4.35792E+06   5.49246E+06   6.96246E+06   8.91540E+06   1.15900E+07   1.53638E+07   2.08076E+07   2.87356E+07   4.02357E+07   5.66645E+07   7.95977E+07   1.10735E+08   1.51768E+08   2.04215E+08   2.69214E+08
            1.05330E+04   1.33126E+04   1.68189E+04   2.12429E+04   2.68264E+04   3.38744E+04   4.27714E+04   5.40019E+04   6.81766E+04   8.60650E+04   1.08636E+05   1.37112E+05   1.73027E+05   2.18316E+05   2.75406E+05   3.47346E+05   4.37959E+05   5.52031E+05   6.95540E+05   8.75939E+05   1.10250E+06   1.38671E+06   1.74283E+06   2.18857E+06   2.74622E+06   3.44468E+06   4.32342E+06   5.44033E+06   6.88637E+06   8.81050E+06   1.14577E+07   1.52193E+07   2.06898E+07   2.87166E+07   4.04254E+07   5.72048E+07   8.06434E+07   1.12422E+08   1.54176E+08   2.07331E+08   2.72913E+08
            1.05242E+04   1.33014E+04   1.68046E+04   2.12245E+04   2.68029E+04   3.38442E+04   4.27324E+04   5.39514E+04   6.81110E+04   8.59794E+04   1.08524E+05   1.36964E+05   1.72831E+05   2.18054E+05   2.75053E+05   3.46868E+05   4.37304E+05   5.51124E+05   6.94270E+05   8.74136E+05   1.09990E+06   1.38291E+06   1.73717E+06   2.17999E+06   2.73303E+06   3.42418E+06   4.29158E+06   5.39159E+06   6.81426E+06   8.70976E+06   1.13290E+07   1.50773E+07   2.05731E+07   2.86978E+07   4.06157E+07   5.77486E+07   8.16985E+07   1.14127E+08   1.56607E+08   2.10471E+08   2.76629E+08
            1.05151E+04   1.32898E+04   1.67897E+04   2.12056E+04   2.67787E+04   3.38132E+04   4.26926E+04   5.39002E+04   6.80448E+04   8.58936E+04   1.08413E+05   1.36818E+05   1.72639E+05   2.17800E+05   2.74715E+05   3.46414E+05   4.36689E+05   5.50282E+05   6.93102E+05   8.72496E+05   1.09756E+06   1.37951E+06   1.73213E+06   2.17237E+06   2.72126E+06   3.40577E+06   4.26267E+06   5.34676E+06   6.74698E+06   8.61451E+06   1.12060E+07   1.49403E+07   2.04604E+07   2.86822E+07   4.08102E+07   5.83004E+07   8.27688E+07   1.15856E+08   1.59076E+08   2.13658E+08   2.80397E+08
