zh          9.62636E-12   2.36444E-11   5.43998E-11   1.26639E-10   3.09183E-10   7.80069E-10   1.97908E-09   4.98755E-09   1.24903E-08   3.11902E-08   7.78373E-08   1.94287E-07   4.85131E-07   1.21174E-06   3.02726E-06   7.56329E-06   1.88934E-05   4.71774E-05   1.17715E-04   2.93350E-04   7.29633E-04   1.80954E-03   4.46881E-03   1.09686E-02   2.66841E-02   6.40501E-02   1.50415E-01   3.40530E-01   7.28143E-01   1.43979E+00   2.59100E+00

dzh         2.00489E+01   2.75923E+01   3.89571E+01   5.99434E+01   9.72617E+01   1.57839E+02   2.51708E+02   3.96926E+02   6.24096E+02   9.81758E+02   1.54580E+03   2.43541E+03   3.83845E+03   6.05108E+03   9.53969E+03   1.50376E+04   2.36948E+04   3.73088E+04   5.86740E+04   9.21012E+04   1.44165E+05   2.24728E+05   3.48212E+05   5.34886E+05   8.11175E+05   1.20521E+06   1.72794E+06   2.33219E+06   2.87595E+06   3.15480E+06   3.02180E+06
            2.01532E+01   2.77370E+01   3.91644E+01   6.02666E+01   9.77915E+01   1.58704E+02   2.53096E+02   3.99124E+02   6.27567E+02   9.87241E+02   1.55446E+03   2.44911E+03   3.86012E+03   6.08534E+03   9.59385E+03   1.51232E+04   2.38300E+04   3.75222E+04   5.90104E+04   9.26303E+04   1.44995E+05   2.26024E+05   3.50224E+05   5.37983E+05   8.15881E+05   1.21222E+06   1.73800E+06   2.34580E+06   2.89276E+06   3.17327E+06   3.03950E+06
            2.02575E+01   2.78820E+01   3.93719E+01   6.05903E+01   9.83219E+01   1.59571E+02   2.54485E+02   4.01325E+02   6.31044E+02   9.92734E+02   1.56314E+03   2.46283E+03   3.88182E+03   6.11966E+03   9.64812E+03   1.52089E+04   2.39655E+04   3.77361E+04   5.93474E+04   9.31604E+04   1.45827E+05   2.27323E+05   3.52240E+05   5.41087E+05   8.20598E+05   1.21924E+06   1.74809E+06   2.35944E+06   2.90961E+06   3.19177E+06   3.05725E+06
            2.03620E+01   2.80270E+01   3.95796E+01   6.09144E+01   9.88531E+01   1.60439E+02   2.55876E+02   4.03530E+02   6.34527E+02   9.98235E+02   1.57184E+03   2.47659E+03   3.90357E+03   6.15405E+03   9.70249E+03   1.52949E+04   2.41013E+04   3.79503E+04   5.96851E+04   9.36917E+04   1.46660E+05   2.28625E+05   3.54261E+05   5.44198E+05   8.25326E+05   1.22628E+06   1.75821E+06   2.37312E+06   2.92650E+06   3.21032E+06   3.07503E+06
            2.04665E+01   2.81723E+01   3.97875E+01   6.12389E+01   9.93849E+01   1.61308E+02   2.57270E+02   4.05738E+02   6.38015E+02   1.00375E+03   1.58055E+03   2.49036E+03   3.92535E+03   6.18850E+03   9.75696E+03   1.53810E+04   2.42373E+04   3.81650E+04   6.00236E+04   9.42241E+04   1.47495E+05   2.29929E+05   3.56287E+05   5.47315E+05   8.30063E+05   1.23333E+06   1.76834E+06   2.38682E+06   2.94343E+06   3.22892E+06   3.09286E+06
            2.05712E+01   2.83176E+01   3.99957E+01   6.15638E+01   9.99175E+01   1.62178E+02   2.58665E+02   4.07950E+02   6.41509E+02   1.00927E+03   1.58928E+03   2.50416E+03   3.94718E+03   6.22302E+03   9.81154E+03   1.54673E+04   2.43736E+04   3.83802E+04   6.03627E+04   9.47576E+04   1.48332E+05   2.31237E+05   3.58316E+05   5.50439E+05   8.34812E+05   1.24040E+06   1.77850E+06   2.40056E+06   2.96039E+06   3.24755E+06   3.11072E+06
            2.06759E+01   2.84631E+01   4.02041E+01   6.18891E+01   1.00451E+02   1.63050E+02   2.60063E+02   4.10165E+02   6.45008E+02   1.01480E+03   1.59802E+03   2.51799E+03   3.96904E+03   6.25760E+03   9.86623E+03   1.55537E+04   2.45101E+04   3.85957E+04   6.07025E+04   9.52922E+04   1.49171E+05   2.32547E+05   3.60351E+05   5.53570E+05   8.39570E+05   1.24749E+06   1.78868E+06   2.41432E+06   2.97740E+06   3.26623E+06   3.12863E+06
            2.07807E+01   2.86088E+01   4.04127E+01   6.22147E+01   1.00985E+02   1.63922E+02   2.61463E+02   4.12384E+02   6.48513E+02   1.02033E+03   1.60678E+03   2.53184E+03   3.99095E+03   6.29224E+03   9.92101E+03   1.56403E+04   2.46470E+04   3.88117E+04   6.10430E+04   9.58278E+04   1.50011E+05   2.33859E+05   3.62389E+05   5.56708E+05   8.44339E+05   1.25459E+06   1.79888E+06   2.42812E+06   2.99444E+06   3.28495E+06   3.14658E+06
            2.08856E+01   2.87545E+01   4.06216E+01   6.25408E+01   1.01519E+02   1.64796E+02   2.62864E+02   4.14605E+02   6.52024E+02   1.02588E+03   1.61555E+03   2.54571E+03   4.01289E+03   6.32695E+03   9.97590E+03   1.57271E+04   2.47841E+04   3.90281E+04   6.13841E+04   9.63646E+04   1.50853E+05   2.35175E+05   3.64432E+05   5.59853E+05   8.49118E+05   1.26171E+06   1.80910E+06   2.44195E+06   3.01152E+06   3.30371E+06   3.16457E+06
            2.09906E+01   2.89005E+01   4.08306E+01   6.28673E+01   1.02055E+02   1.65671E+02   2.64268E+02   4.16831E+02   6.55540E+02   1.03144E+03   1.62433E+03   2.55961E+03   4.03488E+03   6.36173E+03   1.00309E+04   1.58140E+04   2.49214E+04   3.92450E+04   6.17260E+04   9.69025E+04   1.51697E+05   2.36493E+05   3.66478E+05   5.63004E+05   8.53907E+05   1.26884E+06   1.81935E+06   2.45580E+06   3.02864E+06   3.32251E+06   3.18260E+06
            2.10956E+01   2.90463E+01   4.10396E+01   6.31937E+01   1.02590E+02   1.66547E+02   2.65672E+02   4.19056E+02   6.59057E+02   1.03700E+03   1.63313E+03   2.57351E+03   4.05687E+03   6.39652E+03   1.00859E+04   1.59010E+04   2.50589E+04   3.94620E+04   6.20681E+04   9.74408E+04   1.52541E+05   2.37812E+05   3.68527E+05   5.66158E+05   8.58701E+05   1.27598E+06   1.82961E+06   2.46968E+06   3.04577E+06   3.34133E+06   3.20065E+06

ah          2.14669E-17   4.72318E-17   9.03404E-17   1.54881E-16   2.47791E-16   3.84952E-16   5.97691E-16   9.38503E-16   1.48856E-15   2.37224E-15   3.78411E-15   6.03423E-15   9.62209E-15   1.53588E-14   2.45755E-14   3.94934E-14   6.39080E-14   1.04520E-13   1.73657E-13   2.95110E-13   5.17166E-13   9.42604E-13   1.79916E-12   3.60697E-12   7.57657E-12   1.65332E-11   3.68888E-11   8.20566E-11   1.76127E-10   3.53292E-10   6.47027E-10
            2.32128E-17   5.10740E-17   9.76906E-17   1.67486E-16   2.67966E-16   4.16312E-16   6.46413E-16   1.01505E-15   1.61003E-15   2.56583E-15   4.09276E-15   6.52580E-15   1.04040E-14   1.66016E-14   2.65502E-14   4.26310E-14   6.88949E-14   1.12452E-13   1.86290E-13   3.15270E-13   5.49441E-13   9.94529E-13   1.88333E-12   3.74493E-12   7.80634E-12   1.69242E-11   3.75716E-11   8.32756E-11   1.78316E-10   3.57137E-10   6.53440E-10
            2.51430E-17   5.53217E-17   1.05817E-16   1.81421E-16   2.90271E-16   4.50985E-16   7.00286E-16   1.09970E-15   1.74435E-15   2.77991E-15   4.43410E-15   7.06945E-15   1.12689E-14   1.79762E-14   2.87341E-14   4.61007E-14   7.44092E-14   1.21222E-13   2.00251E-13   3.37539E-13   5.85065E-13   1.05177E-12   1.97594E-12   3.89630E-12   8.05744E-12   1.73492E-11   3.83084E-11   8.45804E-11   1.80640E-10   3.61190E-10   6.60162E-10
            2.73263E-17   6.01265E-17   1.15009E-16   1.97184E-16   3.15501E-16   4.90207E-16   7.61229E-16   1.19546E-15   1.89630E-15   3.02210E-15   4.82029E-15   7.68452E-15   1.22473E-14   1.95313E-14   3.12048E-14   5.00258E-14   8.06464E-14   1.31138E-13   2.16035E-13   3.62700E-13   6.25278E-13   1.11630E-12   2.08012E-12   4.06604E-12   8.33773E-12   1.78206E-11   3.91190E-11   8.60022E-11   1.83149E-10   3.65526E-10   6.67304E-10
            2.98588E-17   6.56999E-17   1.25671E-16   2.15469E-16   3.44769E-16   5.35704E-16   8.31924E-16   1.30655E-15   2.07259E-15   3.30307E-15   5.26829E-15   8.39806E-15   1.33823E-14   2.13353E-14   3.40708E-14   5.45784E-14   8.78797E-14   1.42636E-13   2.34327E-13   3.91843E-13   6.71812E-13   1.19086E-12   2.20023E-12   4.26109E-12   8.65821E-12   1.83559E-11   4.00310E-11   8.75850E-11   1.85909E-10   3.70251E-10   6.75021E-10
            3.28779E-17   7.23441E-17   1.38382E-16   2.37268E-16   3.79660E-16   5.89944E-16   9.16203E-16   1.43898E-15   2.28274E-15   3.63803E-15   5.80238E-15   9.24870E-15   1.47354E-14   2.34858E-14   3.74870E-14   6.00047E-14   9.64997E-14   1.56335E-13   2.56113E-13   4.26530E-13   7.27145E-13   1.27939E-12   2.34251E-12   4.49133E-12   9.03459E-12   1.89799E-11   4.10842E-11   8.93913E-11   1.89021E-10   3.75515E-10   6.83535E-10
            3.65841E-17   8.05005E-17   1.53986E-16   2.64027E-16   4.22492E-16   6.56529E-16   1.01966E-15   1.60155E-15   2.54072E-15   4.04921E-15   6.45801E-15   1.02929E-14   1.63964E-14   2.61254E-14   4.16801E-14   6.66642E-14   1.07077E-13   1.73140E-13   2.82828E-13   4.69042E-13   7.94896E-13   1.38763E-12   2.51607E-12   4.77124E-12   9.48984E-12   1.97293E-11   4.23363E-11   9.15128E-11   1.92628E-10   3.81538E-10   6.93171E-10
