            1.42361E-05   6.44036E-05   2.03530E-04   4.87692E-04   1.00175E-03   2.09667E-03   5.10303E-03   1.40787E-02   3.94218E-02   1.05853E-01   2.75950E-01   7.16310E-01   1.86411E+00   4.84877E+00   1.25744E+01   3.24613E+01   8.32475E+01   2.11342E+02   5.27911E+02   1.28391E+03   2.99002E+03   6.52200E+03   1.30383E+04   2.36501E+04   3.94948E+04   6.36784E+04   1.06732E+05   1.98076E+05   4.07919E+05   8.81616E+05   1.87473E+06
            1.42622E-05   6.45216E-05   2.03903E-04   4.88586E-04   1.00358E-03   2.10051E-03   5.11237E-03   1.41045E-02   3.94939E-02   1.06046E-01   2.76455E-01   7.17622E-01   1.86753E+00   4.85768E+00   1.25976E+01   3.25213E+01   8.34021E+01   2.11736E+02   5.28902E+02   1.28632E+03   2.99556E+03   6.53369E+03   1.30603E+04   2.36876E+04   3.95554E+04   6.37848E+04   1.06965E+05   1.98687E+05   4.09551E+05   8.85582E+05   1.88311E+06
            1.42883E-05   6.46396E-05   2.04276E-04   4.89479E-04   1.00542E-03   2.10435E-03   5.12171E-03   1.41303E-02   3.95661E-02   1.06240E-01   2.76960E-01   7.18934E-01   1.87094E+00   4.86658E+00   1.26207E+01   3.25813E+01   8.35566E+01   2.12131E+02   5.29892E+02   1.28872E+03   3.00110E+03   6.54538E+03   1.30824E+04   2.37250E+04   3.96159E+04   6.38911E+04   1.07198E+05   1.99299E+05   4.11186E+05   8.89551E+05   1.89148E+06
            1.43143E-05   6.47576E-05   2.04648E-04   4.90373E-04   1.00725E-03   2.10818E-03   5.13105E-03   1.41560E-02   3.96382E-02   1.06434E-01   2.77465E-01   7.20245E-01   1.87436E+00   4.87548E+00   1.26439E+01   3.26413E+01   8.37111E+01   2.12525E+02   5.30882E+02   1.29113E+03   3.00664E+03   6.55705E+03   1.31044E+04   2.37623E+04   3.96763E+04   6.39973E+04   1.07431E+05   1.99912E+05   4.12825E+05   8.93523E+05   1.89983E+06
            1.43404E-05   6.48756E-05   2.05021E-04   4.91266E-04   1.00909E-03   2.11202E-03   5.14039E-03   1.41818E-02   3.97103E-02   1.06627E-01   2.77970E-01   7.21557E-01   1.87778E+00   4.88438E+00   1.26670E+01   3.27012E+01   8.38656E+01   2.12920E+02   5.31872E+02   1.29354E+03   3.01217E+03   6.56871E+03   1.31264E+04   2.37996E+04   3.97365E+04   6.41033E+04   1.07664E+05   2.00526E+05   4.14465E+05   8.97495E+05   1.90817E+06
            1.43665E-05   6.49935E-05   2.05394E-04   4.92159E-04   1.01092E-03   2.11586E-03   5.14973E-03   1.42075E-02   3.97824E-02   1.06821E-01   2.78475E-01   7.22868E-01   1.88119E+00   4.89328E+00   1.26901E+01   3.27611E+01   8.40201E+01   2.13314E+02   5.32862E+02   1.29594E+03   3.01770E+03   6.58036E+03   1.31484E+04   2.38369E+04   3.97966E+04   6.42091E+04   1.07897E+05   2.01141E+05   4.16107E+05   9.01464E+05   1.91648E+06
            1.43925E-05   6.51115E-05   2.05767E-04   4.93052E-04   1.01276E-03   2.11970E-03   5.15906E-03   1.42333E-02   3.98545E-02   1.07015E-01   2.78980E-01   7.24179E-01   1.88460E+00   4.90217E+00   1.27133E+01   3.28211E+01   8.41745E+01   2.13708E+02   5.33851E+02   1.29835E+03   3.02322E+03   6.59200E+03   1.31703E+04   2.38740E+04   3.98566E+04   6.43147E+04   1.08130E+05   2.01756E+05   4.17748E+05   9.05427E+05   1.92477E+06
            1.44186E-05   6.52294E-05   2.06139E-04   4.93945E-04   1.01459E-03   2.12353E-03   5.16840E-03   1.42590E-02   3.99265E-02   1.07208E-01   2.79484E-01   7.25489E-01   1.88802E+00   4.91107E+00   1.27364E+01   3.28810E+01   8.43289E+01   2.14102E+02   5.34840E+02   1.30075E+03   3.02875E+03   6.60363E+03   1.31922E+04   2.39110E+04   3.99163E+04   6.44199E+04   1.08362E+05   2.02370E+05   4.19387E+05   9.09381E+05   1.93301E+06
            1.44447E-05   6.53472E-05   2.06512E-04   4.94837E-04   1.01642E-03   2.12737E-03   5.17773E-03   1.42848E-02   3.99986E-02   1.07402E-01   2.79989E-01   7.26799E-01   1.89143E+00   4.91996E+00   1.27595E+01   3.29409E+01   8.44833E+01   2.14496E+02   5.35829E+02   1.30315E+03   3.03427E+03   6.61525E+03   1.32141E+04   2.39480E+04   3.99758E+04   6.45248E+04   1.08594E+05   2.02983E+05   4.21024E+05   9.13322E+05   1.94121E+06
            1.44707E-05   6.54651E-05   2.06884E-04   4.95730E-04   1.01825E-03   2.13120E-03   5.18706E-03   1.43105E-02   4.00706E-02   1.07595E-01   2.80493E-01   7.28109E-01   1.89484E+00   4.92885E+00   1.27826E+01   3.30008E+01   8.46376E+01   2.14890E+02   5.36817E+02   1.30556E+03   3.03978E+03   6.62685E+03   1.32359E+04   2.39848E+04   4.00351E+04   6.46291E+04   1.08825E+05   2.03594E+05   4.22654E+05   9.17243E+05   1.94935E+06
