            3.47699E-06   8.46258E-06   2.00568E-05   4.74897E-05   1.13152E-04   2.70305E-04   6.45595E-04   1.54089E-03   3.67555E-03   8.76177E-03   2.08697E-02   4.96599E-02   1.18016E-01   2.80007E-01   6.62957E-01   1.56540E+00   3.68330E+00   8.62668E+00   2.00818E+01   4.63680E+01   1.05885E+02   2.38143E+02   5.24317E+02   1.12027E+03   2.29559E+03   4.44800E+03   8.04348E+03   1.35040E+04   2.12917E+04   3.25248E+04   4.97761E+04
            3.48498E-06   8.48198E-06   2.01026E-05   4.75979E-05   1.13409E-04   2.70918E-04   6.47054E-04   1.54437E-03   3.68382E-03   8.78141E-03   2.09164E-02   4.97706E-02   1.18278E-01   2.80628E-01   6.64423E-01   1.56886E+00   3.69141E+00   8.64566E+00   2.01259E+01   4.64701E+01   1.06118E+02   2.38669E+02   5.25477E+02   1.12275E+03   2.30064E+03   4.45770E+03   8.06072E+03   1.35325E+04   2.13364E+04   3.25938E+04   4.98828E+04
            3.49297E-06   8.50138E-06   2.01485E-05   4.77063E-05   1.13666E-04   2.71531E-04   6.48515E-04   1.54784E-03   3.69208E-03   8.80106E-03   2.09630E-02   4.98813E-02   1.18541E-01   2.81248E-01   6.65890E-01   1.57231E+00   3.69953E+00   8.66465E+00   2.01701E+01   4.65722E+01   1.06352E+02   2.39195E+02   5.26638E+02   1.12523E+03   2.30570E+03   4.46739E+03   8.07796E+03   1.35610E+04   2.13811E+04   3.26629E+04   4.99894E+04
            3.50096E-06   8.52080E-06   2.01944E-05   4.78147E-05   1.13924E-04   2.72145E-04   6.49977E-04   1.55132E-03   3.70036E-03   8.82073E-03   2.10097E-02   4.99921E-02   1.18803E-01   2.81870E-01   6.67357E-01   1.57577E+00   3.70765E+00   8.68364E+00   2.02143E+01   4.66743E+01   1.06586E+02   2.39722E+02   5.27800E+02   1.12771E+03   2.31076E+03   4.47709E+03   8.09520E+03   1.35894E+04   2.14258E+04   3.27319E+04   5.00959E+04
            3.50896E-06   8.54023E-06   2.02404E-05   4.79232E-05   1.14182E-04   2.72759E-04   6.51439E-04   1.55480E-03   3.70863E-03   8.84040E-03   2.10565E-02   5.01030E-02   1.19066E-01   2.82491E-01   6.68825E-01   1.57923E+00   3.71577E+00   8.70265E+00   2.02585E+01   4.67765E+01   1.06819E+02   2.40248E+02   5.28961E+02   1.13019E+03   2.31583E+03   4.48679E+03   8.11244E+03   1.36179E+04   2.14705E+04   3.28008E+04   5.02021E+04
            3.51697E-06   8.55967E-06   2.02863E-05   4.80317E-05   1.14440E-04   2.73373E-04   6.52902E-04   1.55829E-03   3.71692E-03   8.86008E-03   2.11032E-02   5.02139E-02   1.19329E-01   2.83113E-01   6.70293E-01   1.58269E+00   3.72390E+00   8.72166E+00   2.03028E+01   4.68787E+01   1.07053E+02   2.40775E+02   5.30124E+02   1.13267E+03   2.32089E+03   4.49649E+03   8.12968E+03   1.36464E+04   2.15151E+04   3.28696E+04   5.03082E+04
            3.52498E-06   8.57913E-06   2.03323E-05   4.81404E-05   1.14698E-04   2.73988E-04   6.54366E-04   1.56177E-03   3.72520E-03   8.87978E-03   2.11500E-02   5.03248E-02   1.19592E-01   2.83735E-01   6.71763E-01   1.58615E+00   3.73203E+00   8.74068E+00   2.03471E+01   4.69810E+01   1.07287E+02   2.41303E+02   5.31286E+02   1.13516E+03   2.32596E+03   4.50619E+03   8.14692E+03   1.36748E+04   2.15597E+04   3.29383E+04   5.04141E+04
            3.53299E-06   8.59860E-06   2.03784E-05   4.82490E-05   1.14956E-04   2.74603E-04   6.55831E-04   1.56526E-03   3.73349E-03   8.89948E-03   2.11968E-02   5.04359E-02   1.19855E-01   2.84358E-01   6.73233E-01   1.58961E+00   3.74016E+00   8.75972E+00   2.03913E+01   4.70833E+01   1.07521E+02   2.41830E+02   5.32450E+02   1.13764E+03   2.33102E+03   4.51590E+03   8.16416E+03   1.37033E+04   2.16043E+04   3.30069E+04   5.05196E+04
            3.54101E-06   8.61808E-06   2.04244E-05   4.83578E-05   1.15214E-04   2.75218E-04   6.57297E-04   1.56874E-03   3.74179E-03   8.91920E-03   2.12436E-02   5.05469E-02   1.20118E-01   2.84980E-01   6.74703E-01   1.59308E+00   3.74830E+00   8.77876E+00   2.04357E+01   4.71856E+01   1.07755E+02   2.42358E+02   5.33613E+02   1.14013E+03   2.33609E+03   4.52560E+03   8.18139E+03   1.37317E+04   2.16488E+04   3.30754E+04   5.06249E+04
            3.54904E-06   8.63757E-06   2.04705E-05   4.84666E-05   1.15473E-04   2.75834E-04   6.58764E-04   1.57223E-03   3.75009E-03   8.93892E-03   2.12904E-02   5.06581E-02   1.20381E-01   2.85603E-01   6.76175E-01   1.59654E+00   3.75644E+00   8.79780E+00   2.04800E+01   4.72881E+01   1.07989E+02   2.42885E+02   5.34777E+02   1.14261E+03   2.34116E+03   4.53530E+03   8.19861E+03   1.37601E+04   2.16933E+04   3.31438E+04   5.07298E+04

dzh         7.06779E+03   1.06087E+04   1.60218E+04   2.46628E+04   3.81617E+04   5.89144E+04   9.07959E+04   1.39839E+05   2.15250E+05   3.31073E+05   5.08709E+05   7.80654E+05   1.19601E+06   1.82851E+06   2.78788E+06   4.23557E+06   6.40517E+06   9.62676E+06   1.43502E+07   2.11541E+07   3.07070E+07   4.36171E+07   6.00602E+07   7.90894E+07   9.77994E+07   1.11256E+08   1.14744E+08   1.08271E+08   9.87558E+07   9.45038E+07   9.57900E+07
            7.08428E+03   1.06334E+04   1.60590E+04   2.47199E+04   3.82498E+04   5.90500E+04   9.10044E+04   1.40159E+05   2.15741E+05   3.31827E+05   5.09864E+05   7.82421E+05   1.19871E+06   1.83263E+06   2.79415E+06   4.24507E+06   6.41953E+06   9.64833E+06   1.43824E+07   2.12016E+07   3.07761E+07   4.37157E+07   6.01960E+07   7.92676E+07   9.80171E+07   1.11498E+08   1.14988E+08   1.08500E+08   9.89716E+07   9.47188E+07   9.60039E+07
            7.10079E+03   1.06581E+04   1.60962E+04   2.47770E+04   3.83380E+04   5.91858E+04   9.12130E+04   1.40479E+05   2.16233E+05   3.32581E+05   5.11019E+05   7.84189E+05   1.20141E+06   1.83675E+06   2.80042E+06   4.25458E+06   6.43389E+06   9.66991E+06   1.44146E+07   2.12491E+07   3.08454E+07   4.38143E+07   6.03319E+07   7.94459E+07   9.82349E+07   1.11740E+08   1.15231E+08   1.08729E+08   9.91874E+07   9.49336E+07   9.62177E+07
            7.11730E+03   1.06828E+04   1.61334E+04   2.48342E+04   3.84262E+04   5.93216E+04   9.14218E+04   1.40800E+05   2.16725E+05   3.33335E+05   5.12175E+05   7.85958E+05   1.20412E+06   1.84087E+06   2.80669E+06   4.26410E+06   6.44826E+06   9.69151E+06   1.44468E+07   2.12967E+07   3.09146E+07   4.39129E+07   6.04679E+07   7.96243E+07   9.84528E+07   1.11983E+08   1.15475E+08   1.08957E+08   9.94031E+07   9.51484E+07   9.64312E+07
            7.13383E+03   1.07076E+04   1.61707E+04   2.48914E+04   3.85145E+04   5.94575E+04   9.16306E+04   1.41120E+05   2.17217E+05   3.34090E+05   5.13332E+05   7.87728E+05   1.20682E+06   1.84499E+06   2.81297E+06   4.27361E+06   6.46264E+06   9.71311E+06   1.44791E+07   2.13443E+07   3.09839E+07   4.40116E+07   6.06039E+07   7.98027E+07   9.86707E+07   1.12225E+08   1.15719E+08   1.09186E+08   9.96187E+07   9.53629E+07   9.66446E+07
            7.15037E+03   1.07323E+04   1.62080E+04   2.49487E+04   3.86028E+04   5.95935E+04   9.18396E+04   1.41441E+05   2.17709E+05   3.34846E+05   5.14489E+05   7.89499E+05   1.20953E+06   1.84912E+06   2.81924E+06   4.28313E+06   6.47702E+06   9.73472E+06   1.45113E+07   2.13919E+07   3.10532E+07   4.41103E+07   6.07399E+07   7.99812E+07   9.88887E+07   1.12468E+08   1.15963E+08   1.09415E+08   9.98343E+07   9.55773E+07   9.68576E+07
            7.16691E+03   1.07571E+04   1.62453E+04   2.50059E+04   3.86912E+04   5.97296E+04   9.20487E+04   1.41762E+05   2.18202E+05   3.35601E+05   5.15647E+05   7.91271E+05   1.21223E+06   1.85325E+06   2.82552E+06   4.29266E+06   6.49141E+06   9.75635E+06   1.45436E+07   2.14396E+07   3.11225E+07   4.42091E+07   6.08761E+07   8.01598E+07   9.91067E+07   1.12710E+08   1.16206E+08   1.09643E+08   1.00050E+08   9.57916E+07   9.70704E+07
            7.18347E+03   1.07819E+04   1.62826E+04   2.50632E+04   3.87796E+04   5.98657E+04   9.22579E+04   1.42084E+05   2.18695E+05   3.36357E+05   5.16805E+05   7.93043E+05   1.21494E+06   1.85738E+06   2.83181E+06   4.30219E+06   6.50581E+06   9.77798E+06   1.45758E+07   2.14872E+07   3.11919E+07   4.43079E+07   6.10123E+07   8.03384E+07   9.93248E+07   1.12953E+08   1.16450E+08   1.09872E+08   1.00265E+08   9.60056E+07   9.72829E+07
            7.20004E+03   1.08067E+04   1.63200E+04   2.51206E+04   3.88681E+04   6.00019E+04   9.24673E+04   1.42405E+05   2.19189E+05   3.37114E+05   5.17964E+05   7.94817E+05   1.21765E+06   1.86151E+06   2.83810E+06   4.31173E+06   6.52022E+06   9.79963E+06   1.46081E+07   2.15349E+07   3.12613E+07   4.44067E+07   6.11485E+07   8.05171E+07   9.95430E+07   1.13195E+08   1.16694E+08   1.10100E+08   1.00480E+08   9.62195E+07   9.74951E+07
